production_date,shift,id_machine,packer,material,id_type,mould,type,jo_no,qty_perct,gross_weight,part_weight,shot,qty_order,wip_opening,wip_closing,shift_output,finish_good,inward,qty_accum,qty_balance,material_used,runner,reject_startup,reject_startup_per,reject_prod,reject_prod_per,act_ct,production_running,sap_ct, change_full_set , change_half_set , change_parts , maintenance_dt , technician_dt ,production_dt,remark,reject_purging,reject_preform,reject_total_pcs
1/7/2026,2,2,ZAM,PET,442034,0,BC28-0250-Z-S-CL,10699055,4,23,23,1736,139776,0,2304,6944,4608,105.984,11520,128256,159.712,0,0,0,2.7,0.01690543,24.3,11.718,22,,,,,0.282,,Run well.,,,117
1/7/2026,2,3,ASIAH/SUMATHI,PET,324198,0,BX38-0100-C-R-CL,10700605,4,20,20,1636,25920,2160,0,6544,8640,172.8,25920,0,130.88,0,0,0,2.5,0.019101467,22.4,10.25,19.5,,,,,0,,Drolling.Stop 4.15am.C/order.,,,125
1/7/2026,2,3,NA,PET,611949,0,BX38-0150-R-R-AM,10700559,4,20,20,0,36300,0,0,0,0,0,0,36300,0,0,0,,0,,22.4,0,21.64,,,1.5,,0.25,,Change mould.,,,0
1/7/2026,2,4,DIPAK,PET,426555,0,BX38-0330-Z-S-CL-HW,10699839,4,29,29,1668,54912,205,0,6672,7140,207.06,24480,30432,193.488,0,0,0,2,0.010336558,25.9,12,22.72,,,,,0,,Drolling.,,,68
1/7/2026,2,5,DIPAK/ZAM,PET,577492,0,BC28-0375-K-R-Tinted Brown,10699842,4,35.6,35.6,1850,60720,736,736,7400,7360,262.016,22816,37904,263.44,0,0,0,1,0.003795931,23.3,11.97361111,27,,,,,0.026388889,,Run well.L.test.,,,28
1/7/2026,2,6,WIYAH/PUVES,PET,322412,0,JJ63-0200-R-R-CL,10699844,4,24.3,24,451,40600,0,406,1804,0,0,406,40194,43.296,0,14.6,0.337213599,0,0,26.6,1,20,5.5,,,,5.5,,Start 5.00am.,,,0
1/7/2026,2,7,ASIAH,PET,322445,0,JJ63-0400-SH-S-CL,10699847,4,32.74,33,1890,72000,0,0,7560,7200,237.6,27000,45000,249.48,0,0,0,7.8,0.031265031,22.9,12,22,,,,,0,,Flow mark.,,,236
1/7/2026,2,8,WIYAH/PUVES,rPET,593537,0,BX38-1000-RN-R-CL-rPET 0.2,10700450,4,56.5,56.8,1460,69000,0,230,5840,5750,326.6,50830,18170,331.712,0,0,0,2,0.006029327,29,11.76111111,28.5,,,,,0.238888889,,Run well.L.test,,,35
1/7/2026,2,9,KALAMODIN,KingFa NC050,666344,2,BC28-0056-D-APH-5040-0756-PP,10700883,6,12.3,12.3,0,162000,0,0,0,0,0,0,162000,0,0,12.7,,0,,26.7,0,26,,,,,12,,Under tech.Thickness.Start 6.00am,,,0
1/7/2026,2,10,SHAHID,PET,323102,0,BX38-1500-H-R-CL-LW(GREEN) (ASEM),10700489,4,56.9,56.9,1508,40960,160,0,6032,6080,345.952,6720,34240,343.2208,0,0,0,8.6,0.025056756,28,11.72888889,26,,,,,0.271111111,,"Gate off center,flashing.",,,151
1/7/2026,2,11,RAM,PPSB520Y,552181,5,BC28-0090-D-APH-5180-3538-PP-6 NOTCHES,10698216,6,14.7,14.7,1392,108000,3780,1350,8352,10800,158.76,60750,47250,122.7744,0,0,0,1,0.00814502,30.5,11.79333333,27,,,,,0.206666667,,Run well.L.test.,,,68
1/7/2026,2,12,NA,PET RECRON,620599,0,BC28-0750-K4-R-CL (55g)  ,10699339,4,55,55,0,72000,1275,0,0,0,0,66075,5925,0,0,0,,0,,29.7,0,28,,,,,12,,Under tech.Mould dented.,,,0
1/7/2026,2,13,SUMATHI/ASIAH,KingFa NC050,666344,3,BC28-0056-D-APH-5040-0756-PP,10700431,6,12.3,12.3,1538,162000,3240,4860,9228,8100,99.63,45360,116640,113.5044,0,0,0,1,0.008810231,28.1,12,26,,,,,0,,Run wel.L.test,,,81
1/7/2026,2,14,PUVES,PET,541381,0,BC28-1200-K-R-CL,10700742,4,55,55,1548,84000,60,0,6192,6300,346.5,32900,51100,340.56,0,0,0,2,0.00587268,27.5,11.825,30.08,,,,,0.175,,Run well.L.test.,,,36
1/7/2026,2,15,RAM,PPSB520Y,552181,1,BC28-0090-D-APH-5180-3538-PP-6 NOTCHES,10700435,6,14.7,14.7,1468,108000,1350,5130,8808,5400,79.38,69930,38070,129.4776,0,0,0,2,0.015446687,28.9,11.78477778,27,,,,,0.215222222,,Run well.L.test.,,,136
1/7/2026,2,16,SHESHNATH/KAIMULLAH,KingFa NC050,666343,3,BC28-0170-D-5180-3539-PP,10700430,6,28,28,720,100800,5376,6216,4320,3360,94.08,39816,60984,120.96,0,0,0,2.5,0.020667989,46.92,9.4,42,,,,,2.6,,Run well.L.test.Sometimes alarm.,,,89
1/7/2026,2,17,JIWAN,SM398,606524,0,C35-R/S-F.TOP D.CHOC W SEAL 2.0 (ASEM),10700879,12,5.86,5.86,1350,170000,27200,8500,16200,34000,199.24,42500,127500,94.932,0,0,0,1,0.010533856,28.5,10.8,29.04,,,,,1.2,,Uncapping & scratches.,,,170
1/7/2026,2,18,NA,SM398,665673,0,C32- TOP CAP-RED-KKM,10700243,8,2.1,2.1,0,340500,0,0,0,0,0,0,340500,0,0,0,,0,,15.9,0,16,,,,,12,,Under tech.,,,0
1/7/2026,2,19,NA,PET PF CAN,588637,0,PF-JK57-24-82-KEKO,10700330,6,24.6,24.6,0,144000,24000,24000,0,0,0,78138,65862,0,0,0,,0,,32.6,0,26,,,,,12,,Mould testing.,,,0
1/7/2026,2,20,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,2,21,SHESHNATH,R-HDPE ASTERENE HXM 6007,573943,0,EBK38-2000-K-S-WH-PE(S2012),10700679,1,180,122,1263,20160,0,315,1263,720,87.84,7155,13005,154.086,73.254,0,0,27.8,0.180418727,33.4,11.71783333,35,,,,,0.282166667,,Black dot.L.test.,,,227
1/7/2026,2,22,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,2,23,KAIMULLAH,R-HDPE ASTERENE HXM 6007,580580,0,EBK38-2017-K-S-WHITE-PE(S2017),10698803,1,139.8,103,1325,20680,0,275,1325,880,90.64,18315,2365,136.475,48.76,0,0,24.6,0.180252794,33,12,33,,,,,0,,Black dot.L.test.,,,238
1/7/2026,2,24,NITESH,SM240,453796,0,AL2012-BK 38MM CAP (BLACK) C/W SEAL ASEM,10700491,16,4,3.5,2350,400000,20000,32000,37600,0,0,64000,336000,131.6,18.8,0,0,1,0.007598784,15.9,10.4,16,,,,,1.6,,"Short moulding,sometimes blokage.",,,285
1/7/2026,2,24,NITESH,SM240,453796,0,AL2012-BK 38MM CAP (BLACK) C/W SEAL ASEM,10700491,16,4,3.5,0,400000,0,120000,0,0,0,120000,280000,0,0,0,,0,,15.9,0,16,,,,,0,,Assy.,,,0
1/7/2026,2,25,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,2,26,KALAMODIN,PET CAN,588272,0,JK57-0350-R-CL-KEKO,10699331,2,24,18,5125,91800,1360,2295,10250,9180,165.24,31935,59865,184.5,0,0,0,10,0.054200542,7.4,10.53472222,6.8,,,,,1.465277778,,Botttle stuck sometimes.silver streak & dented.Stop 6.00am.,,,555
1/7/2026,2,27,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,2,28,,,123456,0,,,,,,0,0,0,0,,0,0,0,,,,0,,0,,0,0,0,,,,,0,12,NO SCHEDULE,,,0
1/7/2026,2,29,NA,R-HDPE ASTERENE HXM 50100S,611846,0,B54-5000-S-CL-HDPE,TESTING,2,453,329,0,-,0,0,0,0,0,0,-,0,0,0,,0,,67.1,0,40.1,,,,,12,,Testing,,,0
2/7/2026,1,1,HABIRAMI,PET RECRON,322448,0,BCY28-0500-W-R-CL,10698738,4,40,40,1431,204120,324,1134,5724,4860,194.4,53784,150336,228.96,0,0,0,3,0.013102725,30.1,12,23,,,,,0,,Black dot.L.test.,,,75
2/7/2026,1,2,KAVITHAH,PET,442034,0,BC28-0250-Z-S-CL,10699055,4,23,23,1239,139776,2304,2304,4956,4608,105.984,16120,123656,113.988,0,0,0,2,0.017545707,24.3,8.4,22,,,,,3.6,,White mark.Stop 2pm-5.45pm.Hr nozzle #1/2 temprature down.,,,86
